event_name,wikipedia_url,scraped_at,date_raw,venue,venue_wiki_path,location,attendance,attendance_raw,gate_revenue,gate_raw,venue_capacity,sell_through,source,ppv_buys,event_date
UFC 280: Oliveira vs. Makhachev,https://en.wikipedia.org/wiki/UFC_280%3A_Oliveira_vs._Makhachev,2025-12-07T15:26:58.674640,"October 22, 2022(2022-10-22)",Etihad Arena,/wiki/Etihad_Arena,"Abu Dhabi, United Arab Emirates",13400.0,"13,400[1]",1.0,Not Announced[1],18000.0,0.7444444444444445,Wikipedia,650000.0,
UFC 279: Diaz vs. Ferguson,https://en.wikipedia.org/wiki/UFC_279%3A_Diaz_vs._Ferguson,2025-12-07T15:27:11.454893,"September 10, 2022(2022-09-10)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19125.0,"19,125[1]",5670271.86,"$5,670,271.86[1]",20000.0,0.95625,Wikipedia,,
UFC Fight Night: Gane vs. Tuivasa,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Gane_vs._Tuivasa,2025-12-07T15:27:15.590683,"September 3, 2022(2022-09-03)",Accor Arena,/wiki/Accor_Arena,"Paris, France",15405.0,"15,405[1]",3242837.0,"$3,242,837[1]",20300.0,0.7588669950738917,Wikipedia,,
UFC Fight Night: Blaydes vs. Aspinall,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Blaydes_vs._Aspinall,2025-12-07T15:27:32.864373,"July 23, 2022(2022-07-23)",The O2Arena,/wiki/The_O2_Arena,"London, England",17813.0,"17,813[1]",4320679.0,"$4,320,679[1]",20000.0,0.89065,Wikipedia,,
UFC 276: Adesanya vs. Cannonier,https://en.wikipedia.org/wiki/UFC_276%3A_Adesanya_vs._Cannonier,2025-12-07T15:27:44.281968,"July 2, 2022(2022-07-02)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19649.0,"19,649[1]",10409553.7,"$10,409,553.70[1]",20000.0,0.98245,Wikipedia,,
UFC Fight Night: Kattar vs. Emmett,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Kattar_vs._Emmett,2025-12-07T15:27:51.201510,"June 18, 2022(2022-06-18)",Moody Center,/wiki/Moody_Center,"Austin, Texas, United States",13689.0,"13,689[1]",1930000.0,"$1,930,000[1]",16223.0,0.8438020094926956,Wikipedia,,
UFC 273: Volkanovski vs. The Korean Zombie,https://en.wikipedia.org/wiki/UFC_273%3A_Volkanovski_vs._The_Korean_Zombie,2025-12-07T15:28:20.468935,"April 9, 2022(2022-04-09)",VyStar Veterans Memorial Arena,/wiki/VyStar_Veterans_Memorial_Arena,"Jacksonville,Florida, United States",14605.0,"14,605[1]",3550053.07,"$3,550,053.07[1]",15000.0,0.9736666666666667,Wikipedia,,
UFC Fight Night: Blaydes vs. Daukaus,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Blaydes_vs._Daukaus,2025-12-07T15:28:24.971233,"March 26, 2022(2022-03-26)",Nationwide Arena,/wiki/Nationwide_Arena,"Columbus, Ohio, United States",18630.0,"18,630[1]",1921988.24,"$1,921,988.24[1]",20000.0,0.9315,Wikipedia,,
UFC Fight Night: Volkov vs. Aspinall,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Volkov_vs._Aspinall,2025-12-07T15:28:29.072567,"March 19, 2022(2022-03-19)",The O2Arena,/wiki/The_O2_Arena,"London, England",17081.0,"17,081[1]",4500000.0,"$4,500,000[1]",20000.0,0.85405,Wikipedia,,
UFC 272: Covington vs. Masvidal,https://en.wikipedia.org/wiki/UFC_272%3A_Covington_vs._Masvidal,2025-12-07T15:28:35.881144,"March 5, 2022(2022-03-05)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19425.0,"19,425[1]",6760000.0,"$6,760,000[1]",20000.0,0.97125,Wikipedia,,
UFC 271: Adesanya vs. Whittaker 2,https://en.wikipedia.org/wiki/UFC_271%3A_Adesanya_vs._Whittaker_2,2025-12-07T15:28:45.026895,"February 12, 2022(2022-02-12)",Toyota Center,/wiki/Toyota_Center,"Houston, Texas, United States",17872.0,"17,872[1]",4300000.0,"$4,300,000[1]",19000.0,0.9406315789473684,Wikipedia,,
UFC 270: Ngannou vs. Gane,https://en.wikipedia.org/wiki/UFC_270%3A_Ngannou_vs._Gane,2025-12-07T15:28:51.529993,"January 22, 2022(2022-01-22)",Honda Center,/wiki/Honda_Center,"Anaheim, California, United States",17387.0,"17,387[1]",5290213.0,"$5,290,213[1]",18900.0,0.91994708994709,Wikipedia,,
UFC 269: Oliveira vs. Poirier,https://en.wikipedia.org/wiki/UFC_269%3A_Oliveira_vs._Poirier,2025-12-07T15:29:01.793225,"December 11, 2021(2021-12-11)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise,Nevada, United States",18471.0,"18,471[1]",8000000.0,"$8,000,000[1]",20000.0,0.92355,Wikipedia,500000.0,
UFC 268: Usman vs. Covington 2,https://en.wikipedia.org/wiki/UFC_268%3A_Usman_vs._Covington_2,2025-12-07T15:29:15.245302,"November 6, 2021(2021-11-06)",Madison Square Garden,/wiki/Madison_Square_Garden,"New York City,New York, United States",20715.0,"20,715[1]",9800000.0,"$9,800,000[1]",22000.0,0.9415909090909091,Wikipedia,700000.0,
UFC 266: Volkanovski vs. Ortega,https://en.wikipedia.org/wiki/UFC_266%3A_Volkanovski_vs._Ortega,2025-12-07T15:29:31.692817,"September 25, 2021(2021-09-25)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19029.0,"19,029[1]",5609906.0,"$5,609,906[1]",20000.0,0.95145,Wikipedia,,
UFC 265: Lewis vs. Gane,https://en.wikipedia.org/wiki/UFC_265%3A_Lewis_vs._Gane,2025-12-07T15:29:45.542476,"August 7, 2021(2021-08-07)",Toyota Center,/wiki/Toyota_Center,"Houston,Texas, United States",16604.0,"16,604[1]",3460000.0,"$3,460,000[1]",19000.0,0.8738947368421053,Wikipedia,,
UFC 264: Poirier vs. McGregor 3,https://en.wikipedia.org/wiki/UFC_264%3A_Poirier_vs._McGregor_3,2025-12-07T15:29:57.272225,"July 10, 2021(2021-07-10)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",20062.0,"20,062[1]",15759800.0,"$15,759,800[1]",20000.0,1.0031,Wikipedia,1800000.0,
UFC 263: Adesanya vs. Vettori 2,https://en.wikipedia.org/wiki/UFC_263%3A_Adesanya_vs._Vettori_2,2025-12-07T15:30:06.493299,"June 12, 2021(2021-06-12)",Gila River Arena,/wiki/Desert_Diamond_Arena,"Glendale, Arizona, United States",17208.0,"17,208[1]",4200000.0,"$4,200,000[1]",19000.0,0.9056842105263158,Wikipedia,600000.0,
UFC 262: Oliveira vs. Chandler,https://en.wikipedia.org/wiki/UFC_262%3A_Oliveira_vs._Chandler,2025-12-07T15:30:14.836149,"May 15, 2021(2021-05-15)",Toyota Center,/wiki/Toyota_Center,"Houston,Texas, United States",16005.0,"16,005[1]",4110000.0,"$4,110,000[1]",19000.0,0.8423684210526315,Wikipedia,300000.0,
UFC 261: Usman vs. Masvidal 2,https://en.wikipedia.org/wiki/UFC_261%3A_Usman_vs._Masvidal_2,2025-12-07T15:30:24.274651,"April 24, 2021(2021-04-24)",VyStar Veterans Memorial Arena,/wiki/VyStar_Veterans_Memorial_Arena,"Jacksonville,Florida, United States",15269.0,"15,269[1]",3300000.0,"$3,300,000[1]",15000.0,1.0179333333333334,Wikipedia,700000.0,
UFC Fight Night: Holloway vs. Kattar,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Holloway_vs._Kattar,2025-12-07T15:31:00.867363,"January 16, 2021(2021-01-16)",Etihad Arena,/wiki/Etihad_Arena,"Abu Dhabi, United Arab Emirates",2000.0,"2,000[1]",,,18000.0,0.1111111111111111,Wikipedia,,
UFC 248: Adesanya vs. Romero,https://en.wikipedia.org/wiki/UFC_248%3A_Adesanya_vs._Romero,2025-12-07T15:32:31.324761,"March 7, 2020(2020-03-07)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",15077.0,"15,077[1]",2742906.2,"$2,742,906.20[1]",20000.0,0.75385,Wikipedia,,
UFC Fight Night: Benavidez vs. Figueiredo,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Benavidez_vs._Figueiredo,2025-12-07T15:32:35.509407,"February 29, 2020(2020-02-29)",Chartway Arena,/wiki/Chartway_Arena,"Norfolk, Virginia, United States",7098.0,"7,098[1]",402958.0,"$402,958[1]",9520.0,0.7455882352941177,Wikipedia,,
UFC Fight Night: Felder vs. Hooker,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Felder_vs._Hooker,2025-12-07T15:32:39.212490,"February 23, 2020(2020-02-23)",Spark Arena,/wiki/Spark_Arena,"Auckland, New Zealand",10025.0,"10,025[1]",1239625.0,"$1,239,625[1]",120009740.0,8.35348864183857e-05,Wikipedia,,
UFC 247: Jones vs. Reyes,https://en.wikipedia.org/wiki/UFC_247%3A_Jones_vs._Reyes,2025-12-07T15:32:46.227708,"February 8, 2020(2020-02-08)",Toyota Center,/wiki/Toyota_Center,"Houston,Texas, United States",17401.0,"17,401[1]",3549418.0,"$3,549,418[1]",19000.0,0.9158421052631579,Wikipedia,,
UFC 246: McGregor vs. Cowboy,https://en.wikipedia.org/wiki/UFC_246%3A_McGregor_vs._Cowboy,2025-12-07T15:32:53.723609,"January 18, 2020(2020-01-18)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19040.0,"19,040[1]",11087629.33,"$11,087,629.33[2]",20000.0,0.952,Wikipedia,1353429.0,
UFC Fight Night: Edgar vs. The Korean Zombie,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Edgar_vs._The_Korean_Zombie,2025-12-07T15:32:57.846819,"December 21, 2019(2019-12-21)",Sajik Arena,/wiki/Sajik_Arena,"Busan, South Korea",10651.0,"10,651[1]",,,14099.0,0.7554436484857082,Wikipedia,,
UFC 245: Usman vs. Covington,https://en.wikipedia.org/wiki/UFC_245%3A_Usman_vs._Covington,2025-12-07T15:33:02.092768,"December 14, 2019(2019-12-14)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",16811.0,"16,811[1]",4041119.14,"$4,041,119.14[1]",20000.0,0.84055,Wikipedia,,
UFC Fight Night: Zabit vs. Kattar,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Zabit_vs._Kattar,2025-12-07T15:33:13.438610,"November 9, 2019(2019-11-09)",CSKA Arena,/wiki/CSKA_Arena,"Moscow, Russia",11305.0,"11,305[1]",,,14000.0,0.8075,Wikipedia,,
UFC 244: Masvidal vs. Diaz,https://en.wikipedia.org/wiki/UFC_244%3A_Masvidal_vs._Diaz,2025-12-07T15:33:17.798469,"November 2, 2019(2019-11-02)",Madison Square Garden,/wiki/Madison_Square_Garden,"New York City,New York, United States",20143.0,"20,143[1]",6575996.19,"$6,575,996.19[1]",22000.0,0.9155909090909091,Wikipedia,,
UFC Fight Night: Maia vs. Askren,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Maia_vs._Askren,2025-12-07T15:33:22.128425,"October 26, 2019(2019-10-26)",Singapore Indoor Stadium,/wiki/Singapore_Indoor_Stadium,"Kallang, Singapore",7155.0,"7,155[1]",,,15000.0,0.477,Wikipedia,,
UFC Fight Night: Joanna vs. Waterson,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Joanna_vs._Waterson,2025-12-07T15:33:30.117994,"October 12, 2019(2019-10-12)",Amalie Arena,/wiki/Amalie_Arena,"Tampa, Florida",10597.0,"10,597[1]",897805.0,"$897,805[1]",21500.0,0.4928837209302326,Wikipedia,,
UFC 243: Whittaker vs. Adesanya,https://en.wikipedia.org/wiki/UFC_243%3A_Whittaker_vs._Adesanya,2025-12-07T15:33:34.666540,"October 6, 2019(2019-10-06)",Marvel Stadium,/wiki/Docklands_Stadium,"Melbourne, Australia",57127.0,"57,127[1]",5470000.0,"$5,470,000[1]",56347.0,1.013842795534811,Wikipedia,,
UFC Fight Night: Hermansson vs. Cannonier,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Hermansson_vs._Cannonier,2025-12-07T15:33:39.289857,"September 28, 2019(2019-09-28)",Royal Arena,/wiki/Royal_Arena,"Copenhagen, Denmark",12767.0,"12,767[1]",1600000.0,"$1,600,000[1]",17000.0,0.751,Wikipedia,,
UFC Fight Night: Rodriguez vs. Stephens,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Rodriguez_vs._Stephens,2025-12-07T15:33:43.541546,"September 21, 2019(2019-09-21)",Mexico City Arena,/wiki/Mexico_City_Arena,"Mexico City, Mexico",10112.0,"10,112[1]",,,22300.0,0.45345291479820626,Wikipedia,,
UFC Fight Night: Cowboy vs. Gaethje,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Cowboy_vs._Gaethje,2025-12-07T15:33:47.755748,"September 14, 2019(2019-09-14)",Rogers Arena,/wiki/Rogers_Arena,"Vancouver,British Columbia, Canada",15114.0,"15,114[1]",1334931.56,"$1,334,931.56[1]",19700.0,0.7672081218274112,Wikipedia,,
UFC Fight Night: Andrade vs. Zhang,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Andrade_vs._Zhang,2025-12-07T15:33:54.876128,"August 31, 2019(2019-08-31)",Shenzhen Universade Sports Centre Arena,/wiki/Shenzhen_Universiade_Sports_Centre,"Shenzhen, China",10302.0,"10,302[1]",,,60334.0,0.17074949448072396,Wikipedia,,
UFC 241: Cormier vs. Miocic 2,https://en.wikipedia.org/wiki/UFC_241%3A_Cormier_vs._Miocic_2,2025-12-07T15:34:00.082718,"August 17, 2019(2019-08-17)",Honda Center,/wiki/Honda_Center,"Anaheim, California",17304.0,"17,304[1]",3237032.0,"$3,237,032[1]",18900.0,0.9155555555555556,Wikipedia,,
UFC Fight Night: Shevchenko vs. Carmouche 2,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Shevchenko_vs._Carmouche_2,2025-12-07T15:34:04.417217,"August 10, 2019(2019-08-10)",Antel Arena,/wiki/Antel_Arena,"Montevideo, Uruguay",9225.0,"9,225[1]",,,15000.0,0.615,Wikipedia,,
UFC 240: Holloway vs. Edgar,https://en.wikipedia.org/wiki/UFC_240%3A_Holloway_vs._Edgar,2025-12-07T15:34:13.044576,"July 27, 2019(2019-07-27)",Rogers Place,/wiki/Rogers_Place,"Edmonton,Alberta, Canada",12144.0,"12,144[1]",1400000.0,$1.4 million[1],20734.0,0.5857046397221954,Wikipedia,,
UFC 239: Jones vs. Santos,https://en.wikipedia.org/wiki/UFC_239%3A_Jones_vs._Santos,2025-12-07T15:34:24.993268,"July 6, 2019(2019-07-06)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada",18358.0,"18,358[1]",6063707.11,"$6,063,707.11[1]",20000.0,0.9179,Wikipedia,,
UFC Fight Night: Moicano vs. The Korean Zombie,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Moicano_vs._The_Korean_Zombie,2025-12-07T15:34:32.648374,"June 22, 2019(2019-06-22)",Bon Secours Wellness Arena,/wiki/Bon_Secours_Wellness_Arena,"Greenville, South Carolina",7682.0,"7,682[1]",567930.8,"$567,930.80[1]",16000.0,0.480125,Wikipedia,,
UFC 238: Cejudo vs. Moraes,https://en.wikipedia.org/wiki/UFC_238%3A_Cejudo_vs._Moraes,2025-12-07T15:34:37.062368,"June 8, 2019(2019-06-08)",United Center,/wiki/United_Center,"Chicago, Illinois",16083.0,"16,083[1]",2034387.49,"$2,034,387.49[1]",23500.0,0.6843829787234043,Wikipedia,,
UFC Fight Night: Gustafsson vs. Smith,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Gustafsson_vs._Smith,2025-12-07T15:34:41.489386,"June 1, 2019(2019-06-01)",Ericsson Globe,/wiki/Ericsson_Globe,"Stockholm,Sweden",14319.0,"14,319[1]",2000000.0,"$2,000,000[1]",16000.0,0.8949375,Wikipedia,,
UFC 237: Namajunas vs. Andrade,https://en.wikipedia.org/wiki/UFC_237%3A_Namajunas_vs._Andrade,2025-12-07T15:34:49.763461,"May 11, 2019(2019-05-11)",Jeunesse Arena,/wiki/Jeunesse_Arena,"Rio de Janeiro,Brazil",15193.0,"15,193[1]",,,18768.0,0.8095161977834612,Wikipedia,110000.0,
UFC Fight Night: Iaquinta vs. Cowboy,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Iaquinta_vs._Cowboy,2025-12-07T15:34:53.846510,"May 4, 2019(2019-05-04)",Canadian Tire Centre,/wiki/Canadian_Tire_Centre,"Ottawa,Ontario,Canada",10960.0,"10,960[1]",807000.0,"$807,000[1]",20500.0,0.5346341463414634,Wikipedia,,
UFC Fight Night: Overeem vs. Oleinik,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Overeem_vs._Oleinik,2025-12-07T15:35:01.517802,"April 20, 2019(2019-04-20)",Yubileyny Sports Palace,/wiki/Yubileyny_Sports_Palace,"Saint Petersburg,Russia",7236.0,"7,236[1]",,,7044.0,1.0272572402044293,Wikipedia,,
UFC 236: Holloway vs. Poirier 2,https://en.wikipedia.org/wiki/UFC_236%3A_Holloway_vs._Poirier_2,2025-12-07T15:35:06.731414,"April 13, 2019(2019-04-13)",State Farm Arena,/wiki/State_Farm_Arena,"Atlanta, Georgia",14297.0,"14,297[1]",1900000.0,"$1,900,000[1]",,,Wikipedia,,
UFC Fight Night: Thompson vs. Pettis,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Thompson_vs._Pettis,2025-12-07T15:35:16.504086,"March 23, 2019(2019-03-23)",Bridgestone Arena,/wiki/Bridgestone_Arena,"Nashville, Tennessee",10863.0,"10,863[1]",939095.99,"$939,095.99[1]",20000.0,0.54315,Wikipedia,,
UFC Fight Night: Till vs. Masvidal,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Till_vs._Masvidal,2025-12-07T15:35:20.702138,"March 16, 2019(2019-03-16)",The O2Arena,/wiki/The_O2_Arena,"London,England",16602.0,"16,602[1]",2400000.0,"$2,400,000[1]",20000.0,0.8301,Wikipedia,,
UFC 235: Jones vs. Smith,https://en.wikipedia.org/wiki/UFC_235%3A_Jones_vs._Smith,2025-12-07T15:35:28.671144,"March 2, 2019(2019-03-02)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada",14790.0,"14,790[1]",4035156.5,"$4,035,156.50[1]",20000.0,0.7395,Wikipedia,,
UFC 234: Adesanya vs. Silva,https://en.wikipedia.org/wiki/UFC_234%3A_Adesanya_vs._Silva,2025-12-07T15:35:40.343719,"February 10, 2019(2019-02-10)",Rod Laver Arena,/wiki/Rod_Laver_Arena,"Melbourne, Victoria, Australia",15238.0,"15,238[1]",2470088.0,"$2,470,088[1]",14820.0,1.028205128205128,Wikipedia,175000.0,
UFC Fight Night: Cejudo vs. Dillashaw,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Cejudo_vs._Dillashaw,2025-12-07T15:35:48.332763,"January 19, 2019(2019-01-19)",Barclays Center,/wiki/Barclays_Center,"Brooklyn,New York",12152.0,"12,152[1]",1230000.0,"$1,230,000[1]",20000.0,0.6076,Wikipedia,,
UFC 232: Jones vs. Gustafsson 2,https://en.wikipedia.org/wiki/UFC_232%3A_Jones_vs._Gustafsson_2,2025-12-07T15:35:52.867980,"December 29, 2018(2018-12-29)",The Forum,"/wiki/The_Forum_(Inglewood,_California)","Inglewood, California",15862.0,"15,862[1]",2066604.0,"$2,066,604[1]",17500.0,0.9064,Wikipedia,,
UFC 231: Holloway vs. Ortega,https://en.wikipedia.org/wiki/UFC_231%3A_Holloway_vs._Ortega,2025-12-07T15:36:00.984800,"December 8, 2018(2018-12-08)",Scotiabank Arena,/wiki/Scotiabank_Arena,"Toronto,Ontario,Canada",19039.0,"19,039[1]",2400000.0,"$2,400,000[1]",20511.0,0.9282336307347278,Wikipedia,300000.0,
UFC Fight Night: Dos Santos vs. Tuivasa,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Dos_Santos_vs._Tuivasa,2025-12-07T15:36:05.560139,"December 2, 2018(2018-12-02)",Adelaide Entertainment Centre,/wiki/Adelaide_Entertainment_Centre,"Adelaide, Australia",8652.0,"8,652[1]",1026937.0,"$1,026,937[1]",11300.0,0.7656637168141593,Wikipedia,,
UFC Fight Night: Blaydes vs. Ngannou 2,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Blaydes_vs._Ngannou_2,2025-12-07T15:36:13.333480,"November 24, 2018(2018-11-24)",Cadillac Arena,/wiki/Cadillac_Arena,"Beijing, China",10302.0,"10,302[1]",,,190009000.0,5.421848438758164e-05,Wikipedia,,
UFC Fight Night: Magny vs. Ponzinibbio,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Magny_vs._Ponzinibbio,2025-12-07T15:36:17.658976,"November 17, 2018(2018-11-17)",Estadio Mary Terán de Weiss,/wiki/Estadio_Mary_Ter%C3%A1n_de_Weiss,"Buenos Aires, Argentina",10245.0,"10,245[1]",,,15500.0,0.6609677419354839,Wikipedia,,
